start_time,end_time,duration_s,download_mb,upload_mb,total_mb,rate_mbps,reset_event,anomaly
2025-11-02 20:41:02,2025-11-02 21:11:01,1799.0,0.0,0.0,0.0,0.0,False,False
2025-11-02 21:11:01,2025-11-02 22:11:53,3652.0,0.02,0.02,0.05,0.0,False,False
2025-11-02 22:11:53,2025-11-02 22:41:01,1748.0,0.0,0.0,0.01,0.0,False,False
2025-11-02 22:41:01,2025-11-02 23:11:02,1801.0,0.02,0.02,0.03,0.0,False,False
2025-11-02 23:11:02,2025-11-02 23:41:00,1798.0,0.01,0.01,0.01,0.0,False,False
2025-11-02 23:41:00,2025-11-03 00:11:01,1801.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 00:11:01,2025-11-03 00:41:00,1799.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 00:41:00,2025-11-03 02:41:01,7201.0,0.01,0.01,0.03,0.0,False,False
2025-11-03 02:41:01,2025-11-03 03:38:24,3443.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 03:38:24,2025-11-03 03:41:00,156.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 03:41:00,2025-11-03 04:49:58,4138.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 04:49:58,2025-11-03 05:11:01,1263.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 05:11:01,2025-11-03 06:09:13,3492.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 06:09:13,2025-11-03 10:59:19,17406.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 10:59:19,2025-11-03 11:11:00,701.0,0.01,0.01,0.01,0.0,False,False
2025-11-03 11:11:00,2025-11-03 11:41:01,1801.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 11:41:01,2025-11-03 12:11:00,1799.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 12:11:00,2025-11-03 12:41:04,1804.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 12:41:04,2025-11-03 13:11:08,1804.0,0.01,0.01,0.01,0.0,False,False
2025-11-03 13:11:08,2025-11-03 13:41:00,1792.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 13:41:00,2025-11-03 14:11:01,1801.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 14:11:01,2025-11-03 14:26:01,900.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 14:26:01,2025-11-03 14:41:01,900.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 14:41:01,2025-11-03 14:56:00,899.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 14:56:00,2025-11-03 15:11:00,900.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 15:11:00,2025-11-03 15:43:39,1959.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 15:43:39,2025-11-03 15:56:00,741.0,0.01,0.01,0.01,0.0,False,False
2025-11-03 15:56:00,2025-11-03 16:56:01,3601.0,0.01,0.01,0.02,0.0,False,False
2025-11-03 16:56:01,2025-11-03 17:11:00,899.0,0.0,0.0,0.0,0.0,False,False
2025-11-03 17:11:00,2025-11-03 17:27:43,1003.0,0.01,0.01,0.01,0.0,False,False
2025-11-03 17:27:43,2025-11-03 17:41:05,802.0,0.01,0.01,0.01,0.0,False,False
2025-11-03 17:41:05,2025-11-03 17:56:01,896.0,0.0,0.0,0.01,0.0,False,False
2025-11-03 17:56:01,2025-11-03 18:11:01,900.0,0.04,0.04,0.08,0.0,False,False
