start_time,end_time,duration_s,download_mb,upload_mb,total_mb,rate_mbps,reset_event,anomaly
2025-11-02 20:41:02,2025-11-02 21:11:01,1799.0,579.43,42.75,622.19,2.83,False,False
2025-11-02 21:11:01,2025-11-02 22:11:53,3652.0,1002.7,138.4,1141.1,2.56,False,False
2025-11-02 22:11:53,2025-11-02 22:41:01,1748.0,569.07,49.65,618.72,2.9,False,False
2025-11-02 22:41:01,2025-11-02 23:11:02,1801.0,397.95,44.89,442.83,2.01,False,False
2025-11-02 23:11:02,2025-11-02 23:41:00,1798.0,421.94,29.61,451.55,2.06,False,False
2025-11-02 23:41:00,2025-11-03 00:11:01,1801.0,590.86,26.01,616.87,2.81,False,False
2025-11-03 00:11:01,2025-11-03 00:41:00,1799.0,156.48,16.64,173.13,0.79,False,False
2025-11-03 00:41:00,2025-11-03 02:41:01,7201.0,786.82,2929.5,3716.32,4.23,False,False
2025-11-03 02:41:01,2025-11-03 03:38:24,3443.0,703.23,147.2,850.43,2.02,False,False
2025-11-03 03:38:24,2025-11-03 03:41:00,156.0,445.57,28.58,474.15,24.9,False,False
2025-11-03 03:41:00,2025-11-03 04:49:58,4138.0,926.76,85.59,1012.34,2.0,False,False
2025-11-03 04:49:58,2025-11-03 05:11:01,1263.0,181.16,9.83,190.99,1.24,False,False
2025-11-03 05:11:01,2025-11-03 06:09:13,3492.0,220.25,29.8,250.04,0.59,False,False
2025-11-03 06:09:13,2025-11-03 10:59:19,17406.0,1025.16,40.46,1065.62,0.5,False,False
2025-11-03 10:59:19,2025-11-03 11:11:00,701.0,26.87,6.26,33.13,0.39,True,False
2025-11-03 11:11:00,2025-11-03 11:41:01,1801.0,329.71,43.19,372.9,1.7,False,False
2025-11-03 11:41:01,2025-11-03 12:11:00,1799.0,161.5,14.75,176.24,0.8,False,False
2025-11-03 12:11:00,2025-11-03 12:41:04,1804.0,943.5,37.16,980.66,4.45,False,False
2025-11-03 12:41:04,2025-11-03 13:11:08,1804.0,811.55,37.76,849.31,3.86,False,False
2025-11-03 13:11:08,2025-11-03 13:41:00,1792.0,483.98,16.41,500.38,2.29,False,False
2025-11-03 13:41:00,2025-11-03 14:11:01,1801.0,930.33,43.52,973.84,4.43,False,False
2025-11-03 14:11:01,2025-11-03 14:26:01,900.0,743.78,54.62,798.4,7.27,False,False
2025-11-03 14:26:01,2025-11-03 14:41:01,900.0,596.87,141.96,738.83,6.72,False,False
2025-11-03 14:41:01,2025-11-03 14:56:00,899.0,260.78,65.98,326.76,2.98,False,False
2025-11-03 14:56:00,2025-11-03 15:11:00,900.0,65.56,6.11,71.67,0.65,False,False
2025-11-03 15:11:00,2025-11-03 15:43:39,1959.0,172.2,62.91,235.12,0.98,False,False
2025-11-03 15:43:39,2025-11-03 15:56:00,741.0,30.7,13.7,44.4,0.49,False,False
2025-11-03 15:56:00,2025-11-03 16:56:01,3601.0,1379.11,210.93,1590.04,3.62,False,False
2025-11-03 16:56:01,2025-11-03 17:11:00,899.0,262.95,15.05,278.0,2.53,False,False
2025-11-03 17:11:00,2025-11-03 17:27:43,1003.0,169.61,32.79,202.4,1.65,False,False
2025-11-03 17:27:43,2025-11-03 17:41:05,802.0,384.96,28.62,413.58,4.22,False,False
2025-11-03 17:41:05,2025-11-03 17:56:01,896.0,265.46,27.94,293.4,2.68,False,False
2025-11-03 17:56:01,2025-11-03 18:11:01,900.0,211.82,14.64,226.46,2.06,False,False
2025-11-03 18:11:01,2025-11-03 18:26:00,899.0,255.19,15.7,270.89,2.47,False,False
2025-11-03 18:26:00,2025-11-03 18:41:00,900.0,370.97,18.99,389.96,3.55,False,False
2025-11-03 18:41:00,2025-11-03 18:56:00,900.0,258.56,17.78,276.34,2.52,False,False
2025-11-03 18:56:00,2025-11-03 19:04:59,539.0,256.35,16.47,272.83,4.15,False,False
2025-11-03 19:04:59,2025-11-03 19:11:01,362.0,155.45,8.48,163.93,3.71,False,False
2025-11-03 19:11:01,2025-11-03 19:12:35,94.0,41.87,1.97,43.84,3.82,False,False
2025-11-03 19:12:35,2025-11-03 19:15:19,164.0,74.23,3.06,77.28,3.86,False,False
2025-11-03 19:15:19,2025-11-03 19:26:00,641.0,290.76,15.1,305.85,3.91,False,False
2025-11-03 19:26:00,2025-11-03 19:35:07,547.0,275.67,15.78,291.45,4.36,False,False
2025-11-03 19:35:07,2025-11-03 19:41:02,355.0,158.09,36.49,194.58,4.49,False,False
2025-11-03 19:41:02,2025-11-03 19:56:03,901.0,474.77,26.56,501.33,4.56,False,False
2025-11-03 19:56:03,2025-11-03 19:58:43,160.0,99.35,5.09,104.45,5.35,False,False
2025-11-03 19:58:43,2025-11-03 19:59:06,23.0,9.32,0.52,9.84,3.5,False,False
2025-11-03 19:59:06,2025-11-03 20:02:04,178.0,49.53,3.86,53.39,2.46,True,False
2025-11-03 20:02:04,2025-11-03 20:02:39,35.0,17.24,1.06,18.3,4.28,False,False
2025-11-03 20:02:39,2025-11-03 20:04:38,119.0,85.54,2.77,88.31,6.08,False,False
2025-11-03 20:04:38,2025-11-03 20:08:08,210.0,120.57,5.74,126.31,4.93,False,False
2025-11-03 20:08:08,2025-11-03 20:10:50,162.0,84.13,3.93,88.06,4.45,False,False
2025-11-03 20:10:50,2025-11-03 20:13:02,132.0,24.76,2.42,27.18,1.69,True,False
2025-11-03 20:13:02,2025-11-03 20:13:30,28.0,4.95,0.47,5.42,1.59,False,False
2025-11-03 20:13:30,2025-11-03 20:16:50,200.0,95.5,6.19,101.69,4.17,False,False
2025-11-03 20:16:50,2025-11-03 20:22:06,316.0,4023.55,4094.35,8117.9,210.45,False,False
2025-11-03 20:22:06,2025-11-03 20:28:30,384.0,88.84,16.18,105.03,2.24,False,False
2025-11-03 20:28:30,2025-11-03 20:32:19,229.0,5.84,1.23,7.07,0.25,True,False
2025-11-03 20:32:19,2025-11-03 21:17:01,2682.0,260.56,26.15,286.7,0.88,False,False
2025-11-03 21:17:01,2025-11-03 21:26:25,564.0,657.72,120.77,778.5,11.31,False,False
2025-11-03 21:26:25,2025-11-03 21:32:41,376.0,47.76,21.09,68.85,1.5,False,False
2025-11-03 21:32:41,2025-11-03 21:38:48,367.0,90.42,9.13,99.55,2.22,False,False
2025-11-03 21:38:48,2025-11-03 21:47:00,492.0,131.23,17.22,148.45,2.47,False,False
2025-11-03 21:47:00,2025-11-03 22:02:01,901.0,336.05,45.13,381.18,3.47,False,False
2025-11-03 22:02:01,2025-11-03 23:02:01,3600.0,293.31,54.02,347.32,0.79,False,False
2025-11-03 23:02:01,2025-11-03 23:02:02,1.0,228.86,29.9,258.76,2119.74,False,False
2025-11-03 23:02:02,2025-11-03 23:02:03,1.0,196.87,12.5,209.37,1715.17,False,False
2025-11-03 23:02:03,2025-11-03 23:02:04,1.0,263.01,20.43,283.44,2321.98,False,False
2025-11-03 23:02:04,2025-11-03 23:17:00,896.0,138.05,9.2,147.25,1.35,False,False
2025-11-03 23:17:00,2025-11-03 23:32:02,902.0,195.71,20.09,215.8,1.96,False,False
2025-11-03 23:32:02,2025-11-03 23:41:45,583.0,137.74,15.94,153.68,2.16,False,False
2025-11-03 23:41:45,2025-11-03 23:47:01,316.0,56.86,7.71,64.57,1.67,False,False
2025-11-03 23:47:01,2025-11-04 00:02:03,902.0,124.24,12.14,136.37,1.24,False,False
2025-11-04 00:02:03,2025-11-04 00:17:02,899.0,316.28,18.08,334.36,3.05,False,False
2025-11-04 00:17:02,2025-11-04 00:32:01,899.0,430.05,32.71,462.76,4.22,False,False
2025-11-04 00:32:01,2025-11-04 00:55:21,1400.0,236.35,23.42,259.76,1.52,False,False
2025-11-04 00:55:21,2025-11-04 01:02:01,400.0,195.8,23.44,219.23,4.49,False,False
2025-11-04 01:02:01,2025-11-04 01:17:01,900.0,169.61,19.3,188.91,1.72,False,False
2025-11-04 01:17:01,2025-11-04 01:32:00,899.0,214.15,17.39,231.54,2.11,False,False
2025-11-04 01:32:00,2025-11-04 01:48:53,1013.0,108.4,13.73,122.13,0.99,False,False
2025-11-04 01:48:53,2025-11-04 02:02:02,789.0,183.29,16.31,199.6,2.07,False,False
2025-11-04 02:02:02,2025-11-04 02:17:00,898.0,192.33,15.8,208.13,1.9,False,False
2025-11-04 02:17:00,2025-11-04 02:32:00,900.0,69.44,5.85,75.3,0.69,False,False
2025-11-04 02:32:00,2025-11-04 02:47:01,901.0,221.73,17.35,239.08,2.17,False,False
2025-11-04 02:47:01,2025-11-04 03:02:01,900.0,323.28,17.05,340.32,3.1,False,False
2025-11-04 03:02:01,2025-11-04 03:17:02,901.0,344.34,19.92,364.26,3.31,False,False
2025-11-04 03:17:02,2025-11-04 03:32:00,898.0,123.87,8.46,132.33,1.21,False,False
